t,V,amp_GM,amp_YL
259.2000,12.9600,6.063726e-13,4.937856e-13
260.4000,13.0200,5.760774e-13,5.706650e-13
261.6000,13.0800,5.925295e-13,6.034687e-13
262.8000,13.1400,5.721638e-13,5.665468e-13
264.0000,13.2000,6.362168e-13,6.264503e-13
265.2000,13.2600,5.694230e-13,5.996245e-13
266.4000,13.3200,4.852126e-13,7.429508e-13
267.6000,13.3800,6.817845e-13,9.320322e-13
268.8000,13.4400,5.639551e-13,1.101317e-12
270.0000,13.5000,5.407307e-13,1.116544e-12
271.2000,13.5600,4.351484e-13,1.934019e-12
272.4000,13.6200,5.687395e-13,2.169338e-12
273.6000,13.6800,6.678651e-13,3.358806e-12
274.8000,13.7400,6.725870e-13,4.909958e-12
276.0000,13.8000,6.243721e-13,7.175292e-12
277.2000,13.8600,5.795538e-13,1.096157e-11
278.4000,13.9200,6.526238e-13,1.744360e-11
279.6000,13.9800,7.477213e-13,2.823126e-11
280.8000,14.0400,8.658525e-13,4.635594e-11
282.0000,14.1000,8.449526e-13,7.652264e-11
283.2000,14.1600,1.102840e-12,1.285655e-10
284.4000,14.2200,1.562118e-12,2.187522e-10
285.6000,14.2800,2.282601e-12,3.788810e-10
286.8000,14.3400,3.678217e-12,6.641111e-10
288.0000,14.4000,5.456229e-12,1.180801e-09
289.2000,14.4600,8.762428e-12,2.128630e-09
290.4000,14.5200,1.408060e-11,3.888904e-09
291.6000,14.5800,2.315740e-11,7.200630e-09
292.8000,14.6400,3.893749e-11,1.351162e-08
294.0000,14.7000,6.698125e-11,2.569124e-08
295.2000,14.7600,1.166078e-10,4.949786e-08
296.4000,14.8200,2.078353e-10,9.662513e-08
297.6000,14.8800,3.764494e-10,1.911031e-07
298.8000,14.9400,6.918222e-10,3.829156e-07
300.0000,15.0000,1.294007e-09,7.772783e-07
301.2000,15.0600,2.460256e-09,1.598355e-06
302.4000,15.1200,4.755416e-09,3.329511e-06
303.6000,15.1800,9.339959e-09,7.025654e-06
304.8000,15.2400,1.863692e-08,1.501699e-05
306.0000,15.3000,3.778225e-08,3.251332e-05
307.2000,15.3600,7.780617e-08,7.130437e-05
308.4000,15.4200,1.627470e-07,1.585095e-04
309.6000,15.4800,3.460539e-07,3.573709e-04
310.8000,15.5400,7.483813e-07,8.161449e-04
312.0000,15.6000,1.643560e-06,1.888000e-03
313.2000,15.6600,3.665248e-06,4.424133e-03
314.4000,15.7200,8.299478e-06,1.050160e-02
315.6000,15.7800,1.908117e-05,2.525252e-02
316.8000,15.8400,4.453947e-05,6.152281e-02
318.0000,15.9000,1.055485e-04,1.519473e-01
319.2000,15.9600,2.539266e-04,3.815544e-01
320.4000,16.0200,6.201517e-04,9.926856e-01
321.6000,16.0800,1.537471e-03,3.312036e+00
